,wheat,corn,dairy,beef,chicken,rice,apple,potatoes,broccoli,carrots,target
26,3.0,5.0,4.0,5.0,3.0,4.0,1.0,2.0,2.0,3.0,none
27,4.0,1.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,2.0,none
28,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,1.0,none
29,4.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0,4.0,4.0,none
30,3.0,5.0,4.0,1.0,3.0,4.0,1.0,5.0,1.0,5.0,none
31,4.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0,5.0,3.0,none
32,4.0,5.0,4.0,3.0,1.0,1.0,2.0,5.0,5.0,2.0,none
33,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,none
34,5.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,5.0,none
35,4.0,5.0,4.0,4.0,1.0,4.0,4.0,3.0,2.0,2.0,none
36,4.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,1.0,none
37,4.0,4.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,none
38,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,5.0,none
39,3.0,4.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,none
40,3.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,none
41,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,none
42,5.0,4.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,5.0,none
43,5.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,none
44,4.0,5.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,potatoes
45,2.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,none
46,5.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,1.0,none
47,1.0,2.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,none
48,1.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,none
49,2.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,none
50,2.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,4.0,5.0,none
51,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,none
52,4.0,5.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,4.0,none
53,3.0,5.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,4.0,none
54,5.0,5.0,4.0,4.0,5.0,1.0,3.0,4.0,1.0,1.0,none
55,2.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,none
56,3.0,4.0,1.0,1.0,5.0,4.0,3.0,3.0,1.0,4.0,none
57,4.0,1.0,5.0,4.0,2.0,4.0,1.0,1.0,4.0,2.0,none
58,4.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,none
59,3.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,none
60,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,none
61,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,none
62,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,none
63,2.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,none
64,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,rice
65,1.0,2.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,3.0,none
66,3.0,5.0,4.0,2.0,1.0,4.0,4.0,2.0,5.0,5.0,none
67,5.0,3.0,3.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,none
68,4.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,5.0,none
69,4.0,4.0,1.0,5.0,2.0,1.0,4.0,5.0,4.0,4.0,none
70,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,none
71,5.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,none
72,5.0,5.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,none
73,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,none
74,2.0,1.0,4.0,5.0,2.0,3.0,1.0,4.0,1.0,1.0,none
75,2.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,none
76,1.0,2.0,4.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,none
77,2.0,4.0,1.0,4.0,5.0,3.0,4.0,4.0,1.0,4.0,none
78,3.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,5.0,none
79,3.0,4.0,4.0,1.0,3.0,1.0,5.0,3.0,1.0,5.0,none
80,1.0,1.0,4.0,5.0,2.0,5.0,4.0,2.0,3.0,4.0,none
81,4.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,none
82,2.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,none
83,5.0,5.0,4.0,5.0,5.0,1.0,3.0,2.0,4.0,4.0,none
84,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,none
85,4.0,5.0,1.0,5.0,5.0,4.0,2.0,3.0,3.0,2.0,none
86,3.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,none
87,2.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,none
88,4.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,none
89,2.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,none
90,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,none
91,1.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,2.0,none
92,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,none
93,5.0,4.0,2.0,3.0,1.0,5.0,4.0,2.0,3.0,5.0,none
94,4.0,4.0,5.0,4.0,2.0,2.0,5.0,4.0,1.0,2.0,none
95,4.0,1.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,none
96,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,none
97,2.0,1.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,3.0,none
98,2.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,none
99,1.0,1.0,3.0,4.0,3.0,1.0,5.0,2.0,1.0,5.0,none
100,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,none
101,1.0,1.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,none
102,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,none
103,3.0,1.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,none
104,4.0,5.0,1.0,4.0,1.0,2.0,4.0,4.0,1.0,5.0,corn
105,3.0,1.0,5.0,4.0,4.0,2.0,1.0,3.0,5.0,4.0,none
106,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,none
107,5.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,3.0,4.0,none
108,5.0,2.0,4.0,5.0,1.0,4.0,1.0,4.0,2.0,4.0,none
109,3.0,5.0,1.0,1.0,3.0,5.0,2.0,5.0,1.0,4.0,none
110,4.0,4.0,1.0,4.0,1.0,5.0,3.0,5.0,4.0,4.0,none
111,5.0,4.0,4.0,2.0,1.0,5.0,2.0,1.0,3.0,4.0,none
112,1.0,5.0,3.0,4.0,1.0,1.0,4.0,4.0,5.0,4.0,none
113,4.0,1.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,none
114,3.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,none
115,3.0,3.0,4.0,4.0,4.0,5.0,1.0,3.0,2.0,1.0,none
116,4.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,5.0,none
117,3.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,none
118,2.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,none
119,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,none
120,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,none
121,4.0,5.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,none
122,4.0,5.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,5.0,none
123,5.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,5.0,1.0,none
124,2.0,5.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,2.0,none
125,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,2.0,none
126,1.0,5.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,none
127,4.0,5.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,none
128,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,none
129,2.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,5.0,2.0,none
130,4.0,5.0,5.0,4.0,4.0,1.0,4.0,2.0,3.0,5.0,none
131,1.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,none
132,1.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,none
133,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,none
134,2.0,1.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,4.0,none
135,1.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,5.0,none
136,4.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,none
137,3.0,1.0,4.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,none
138,1.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,none
139,4.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,2.0,4.0,none
140,4.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,4.0,4.0,none
141,1.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,3.0,3.0,none
142,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,none
143,3.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,none
144,5.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,5.0,none
145,2.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,1.0,none
146,3.0,2.0,3.0,4.0,1.0,5.0,3.0,4.0,1.0,2.0,none
147,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,none
148,4.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,none
149,5.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,none
150,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,3.0,2.0,none
151,2.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,4.0,none
152,4.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,none
153,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,none
154,4.0,2.0,4.0,2.0,1.0,5.0,4.0,4.0,3.0,4.0,none
155,4.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,1.0,none
156,1.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,none
157,1.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,none
158,4.0,1.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,none
159,2.0,3.0,3.0,4.0,1.0,2.0,5.0,4.0,4.0,4.0,none
160,4.0,5.0,1.0,3.0,4.0,5.0,1.0,4.0,4.0,1.0,none
161,4.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,none
162,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,1.0,none
163,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0,none
164,4.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,none
165,1.0,3.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,2.0,none
166,4.0,3.0,5.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,none
167,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,none
168,2.0,4.0,4.0,5.0,4.0,3.0,1.0,5.0,3.0,4.0,none
169,1.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,4.0,5.0,none
170,3.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,none
171,4.0,1.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,none
172,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,none
173,4.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,5.0,4.0,none
174,4.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,none
175,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,potatoes
176,4.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,none
177,4.0,4.0,4.0,1.0,4.0,1.0,1.0,5.0,3.0,2.0,none
178,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,none
179,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,none
180,4.0,4.0,3.0,4.0,2.0,5.0,1.0,4.0,4.0,3.0,none
181,4.0,3.0,1.0,4.0,4.0,3.0,1.0,4.0,2.0,5.0,none
182,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,apple
183,1.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,2.0,2.0,none
184,5.0,5.0,5.0,4.0,2.0,4.0,5.0,1.0,3.0,3.0,none
185,5.0,2.0,3.0,5.0,1.0,1.0,5.0,4.0,1.0,2.0,none
186,2.0,4.0,5.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,none
187,4.0,3.0,4.0,4.0,3.0,1.0,5.0,3.0,2.0,4.0,chicken
188,2.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,none
189,1.0,5.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,none
190,4.0,5.0,2.0,1.0,5.0,2.0,5.0,1.0,4.0,5.0,none
191,4.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,2.0,4.0,none
192,4.0,1.0,4.0,1.0,5.0,4.0,4.0,4.0,3.0,2.0,none
193,4.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,none
194,2.0,1.0,3.0,4.0,2.0,4.0,1.0,4.0,5.0,4.0,none
195,3.0,4.0,4.0,3.0,4.0,1.0,5.0,4.0,1.0,1.0,none
196,4.0,4.0,4.0,2.0,5.0,2.0,1.0,2.0,4.0,5.0,none
197,2.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,none
198,3.0,4.0,5.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,none
199,4.0,1.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,none
200,4.0,5.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,5.0,none
201,4.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,5.0,4.0,none
202,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,none
203,4.0,5.0,2.0,4.0,3.0,1.0,4.0,4.0,2.0,4.0,none
204,5.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,5.0,4.0,none
205,3.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,none
206,2.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,5.0,4.0,none
207,4.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,none
208,4.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,none
209,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,none
210,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,3.0,wheat
211,4.0,2.0,4.0,5.0,1.0,2.0,4.0,1.0,3.0,3.0,none
212,5.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,none
213,4.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,none
214,4.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,none
215,5.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,none
216,3.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,none
217,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,none
218,2.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,none
219,4.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,2.0,none
220,5.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,none
221,1.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,none
222,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,none
223,4.0,3.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,none
224,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,4.0,none
225,4.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,none
226,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,none
227,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,3.0,none
228,5.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,none
229,5.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,none
230,4.0,5.0,5.0,4.0,5.0,4.0,3.0,1.0,4.0,4.0,none
231,2.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,none
232,4.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,none
233,4.0,2.0,1.0,2.0,5.0,1.0,5.0,5.0,4.0,5.0,none
234,1.0,1.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,5.0,none
235,3.0,3.0,4.0,5.0,4.0,1.0,5.0,4.0,3.0,3.0,none
236,1.0,3.0,5.0,5.0,3.0,2.0,1.0,4.0,4.0,2.0,none
237,3.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,4.0,4.0,none
238,3.0,4.0,5.0,4.0,5.0,2.0,3.0,2.0,5.0,4.0,wheat
239,5.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,none
240,3.0,5.0,4.0,4.0,1.0,4.0,2.0,1.0,5.0,4.0,none
241,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,none
242,1.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,none
243,2.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,1.0,none
244,5.0,2.0,4.0,5.0,2.0,4.0,3.0,1.0,3.0,4.0,none
245,4.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,2.0,none
246,4.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,none
247,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,none
248,1.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,none
249,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,none
250,5.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,none
251,1.0,1.0,5.0,4.0,1.0,2.0,5.0,3.0,4.0,2.0,none
252,3.0,4.0,4.0,3.0,5.0,2.0,2.0,4.0,1.0,5.0,none
253,4.0,4.0,1.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,none
254,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,none
255,4.0,5.0,1.0,3.0,4.0,5.0,1.0,4.0,4.0,1.0,none
256,4.0,2.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,5.0,none
257,3.0,2.0,4.0,3.0,2.0,5.0,2.0,1.0,4.0,5.0,none
258,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,none
259,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,none
260,4.0,5.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,3.0,none
261,4.0,3.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,2.0,none
262,3.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,none
263,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,none
264,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,none
265,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,none
266,4.0,2.0,3.0,5.0,3.0,3.0,4.0,1.0,5.0,2.0,none
267,4.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,none
268,5.0,4.0,5.0,1.0,4.0,5.0,2.0,5.0,1.0,4.0,none
269,4.0,3.0,4.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,none
270,4.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,none
271,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,none
272,1.0,1.0,2.0,1.0,4.0,5.0,1.0,4.0,1.0,4.0,none
273,2.0,5.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,none
274,2.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,3.0,none
275,5.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,beef
276,1.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,none
277,4.0,3.0,5.0,1.0,2.0,5.0,1.0,4.0,5.0,1.0,none
278,1.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,5.0,1.0,none
279,2.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,2.0,none
280,1.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,none
281,5.0,1.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,5.0,none
282,4.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,none
283,3.0,4.0,1.0,4.0,5.0,1.0,4.0,3.0,4.0,4.0,none
284,4.0,4.0,1.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,none
285,4.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,1.0,4.0,none
286,5.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,1.0,none
287,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,none
288,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,none
289,2.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,none
290,1.0,4.0,5.0,5.0,3.0,2.0,1.0,4.0,4.0,1.0,none
291,2.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,none
292,5.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,1.0,none
293,4.0,1.0,1.0,5.0,2.0,4.0,3.0,5.0,4.0,2.0,none
294,5.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,5.0,2.0,none
295,5.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,none
296,3.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0,none
297,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,none
298,1.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,none
299,1.0,4.0,4.0,5.0,3.0,1.0,5.0,4.0,4.0,3.0,none
300,2.0,4.0,5.0,2.0,3.0,4.0,2.0,1.0,4.0,1.0,none
301,4.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,none
302,3.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,none
303,2.0,4.0,3.0,1.0,4.0,5.0,2.0,4.0,2.0,4.0,none
304,1.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,none
305,5.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,none
306,2.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,1.0,3.0,none
307,4.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,none
308,5.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,none
309,2.0,3.0,5.0,4.0,4.0,1.0,5.0,4.0,5.0,1.0,none
310,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,none
311,4.0,3.0,5.0,3.0,4.0,1.0,5.0,4.0,1.0,4.0,none
312,4.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,5.0,2.0,none
313,1.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,none
314,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,none
